benchmark,dtype,mode,streams,repeat,loop_iters,unroll,total_mma,cycles,cycles_per_mma,sink_lo,sink_hi
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,8,3,4096,2,65536,1315046,20.06600952,0,0
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,8,4,4096,2,65536,1315047,20.06602478,0,0
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,8,5,4096,2,65536,1315046,20.06600952,0,0
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,8,6,4096,2,65536,1315169,20.06788635,0,0
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,8,7,4096,2,65536,1315046,20.06600952,0,0
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,8,8,4096,2,65536,1315047,20.06602478,0,0
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,8,9,4096,2,65536,1315107,20.06694031,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,2,0,4096,2,16384,495725,30.25665283,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,2,1,4096,2,16384,495664,30.25292969,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,2,2,4096,2,16384,495725,30.25665283,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,2,3,4096,2,16384,495664,30.25292969,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,2,4,4096,2,16384,495784,30.26025391,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,2,5,4096,2,16384,495664,30.25292969,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,2,6,4096,2,16384,495786,30.26037598,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,2,7,4096,2,16384,495664,30.25292969,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,2,8,4096,2,16384,495725,30.25665283,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,2,9,4096,2,16384,495664,30.25292969,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,4,0,4096,2,32768,475191,14.50167847,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,4,1,4096,2,32768,475313,14.50540161,0,0
